nombre,dirección,localidad,upz,entidad_administradora,carácter,uso_principal
Instituto Italiano De Cultura De Bogotá,CL 35 15 32,Teusaquillo,Teusaquillo,INSTITUTO ITALIANO DE CULTURA DE BOGOTÁ,Privado,Centro Cultural y Artístico
Casa Del Valle,CL 35 5 50,Santa Fe,Sagrado Corazon,GOBERNACIÓN DEL VALLE,Mixto,Centro Cultural y Artístico
Centro Cultural Llanero,CL 62 20 28,Teusaquillo,Galerias,ASOCIACIÓN FOLCLORICA CENTRO CULTURAL LLANERO,Privado,Centro Cultural y Artístico
Centro De Desarrollo Comunitario Lago Timiza,KR 74 42G 52 SUR,Kennedy,Timiza,SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL,Público,Centro Cultural y Artístico
Centro Colombo Americano,CL 19 2A 49,Santa Fe,Las Nieves,CENTRO COLOMBO AMERICANO,Privado,Centro Cultural y Artístico
Centro Musical Teusaquillo,KR 27A 41 49,Teusaquillo,Teusaquillo,FUNDACIÓN NACIONAL BATUTA,Privado,Centro Cultural y Artístico
Centro De Desarrollo Comunitario Bellavista,CL 38 SUR 94C 29,Kennedy,Patio Bonito,SECRETARÍA DISTRITAL DE INTEGRACIÓN SOCIAL,Público,Centro Cultural y Artístico
Museo Taurino - Plaza De Toros La Santamaría,KR 6 26B 50,Santa Fe,Sagrado Corazon,INSTITUTO DISTRITAL DE RECREACIÓN Y DEPORTE -IDRD,Público,Centro Cultural y Artístico
Centro Cultural Islámico,CL 36 28B 10,Teusaquillo,Teusaquillo,CENTRO CULTURAL ISLÁMICO,Privado,Centro Cultural y Artístico
Clan Kennedy La Castilla,KR 75 8B 89,Kennedy,Castilla,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Clan Kennedy Las Delicias,AK 72 43A 62 SUR,Kennedy,Carvajal,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,Público,Centro Cultural y Artístico
Corporación Escuela De Formación Musical Nueva Cultura,CL 29A 34A 39,Teusaquillo,Quinta Paredes,JORGE SOSA,Privado,Centro Cultural y Artístico
Asociacion Cristiana De Jovenes,KR 16 28B 33,Teusaquillo,Teusaquillo,ASOCIACIÓN CRISTIANA DE JOVENES,Privado,Centro Cultural y Artístico
